PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description length,No. of meta descriptions,Is indexable page
19,https://utahwatergardens.com/privacy-and-legal-info,About Utah Water Gardens - Utah's Premier Pond & Water Feature Company | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Learn about Utah Water Gardens, Utah's premier pond and water feature company. 15+ years of experience, 500+ projects completed, and Utah's largest selection of aquatic plants.",176,1,false
19,https://utahwatergardens.com/pond-services/water-quality,Water Quality Testing Services - Professional Pond Testing | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional water quality testing services for ponds and water features. pH, ammonia, nitrite, nitrate, and dissolved oxygen testing to ensure optimal conditions for fish and plants.",183,1,false
19,https://utahwatergardens.com/aquatic-plants,Plants & Fish - Aquatic Plants and Pond Fish | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,0,"Discover Utah's largest selection of aquatic plants and pond fish. Water lilies, marginal plants, floating plants, koi, and goldfish. Expert advice and healthy stock guaranteed.",177,1,false
1,https://utahwatergardens.com/pond-and-lake-dredging,Pond Services - Professional Pond Care & Maintenance | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional pond services including cleaning, maintenance, repair, and dredging. Serving Salt Lake County, Davis County, and surrounding areas with 15+ years of experience.",173,1,false
0,https://utahwatergardens.com/pond-services/water-quality/farr-west,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-supplies/filtration/kaysville,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-services/repair/salt-lake-city,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-services/water-quality/west-jordan,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-supplies/liners/holladay,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-services/repair/south-ogden,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-repair-and-rebuild,Pond Services - Professional Pond Care & Maintenance | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional pond services including cleaning, maintenance, repair, and dredging. Serving Salt Lake County, Davis County, and surrounding areas with 15+ years of experience.",173,1,false
0,https://utahwatergardens.com/pond-services/design-build/farr-west,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-supplies/filtration/syracuse,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-services/repair/washington-terrace,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/blog/eco-friendly-pond-maintenance-tips,Eco-Friendly Pond Maintenance Tips: Sustainable Water Garden Care | Utah Water Gardens Blog,text/html; charset=utf-8,true,200,0,1,Discover eco-friendly pond maintenance tips for sustainable water garden care. Learn natural methods that protect the environment while maintaining beautiful ponds.,164,1,false
0,https://utahwatergardens.com/pond-services/water-quality/salt-lake-city,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-supplies/liners/layton,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-supplies/filtration/west-valley-city,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-supplies/filtration/american-fork,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-supplies/pumps-aeration/springville,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-services/repair/murray,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-maintenance,Pond Services - Professional Pond Care & Maintenance | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,0,"Professional pond services including cleaning, maintenance, repair, and dredging. Serving Salt Lake County, Davis County, and surrounding areas with 15+ years of experience.",173,1,false
0,https://utahwatergardens.com/pond-supplies/pumps-aeration/sandy,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
0,https://utahwatergardens.com/pond-supplies/pumps-aeration/cottonwood-heights,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,false
