PR,URL,Title,Content type,Is rendered page,HTTP status code,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
91,https://utahwatergardens.com/,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",1109,<truncated>,7484,2692032326149199208,60,true
39,https://utahwatergardens.com/plants-fish/marginal-plants,Marginal Plants - Pond Edge Plants | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,Perfect plants for pond edges and shallow water areas. Beautiful marginal plants to enhance your water garden in Utah.,1016,<truncated>,6854,16179782623016748411,0,true
39,https://utahwatergardens.com/pond-gallery/residential,Residential Ponds - Custom Home Water Gardens & Koi Ponds | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,"Transform your backyard with a custom residential pond. View our gallery of 200+ beautiful home water gardens, koi ponds, and water features across Utah. Professional pond design and installation serving Salt Lake County, Davis County, and surrounding areas.",1163,<truncated>,8158,17107297453820478061,0,true
39,https://utahwatergardens.com/resources/video-tutorials,Pond Care Video Tutorials | Educational Videos | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,Educational video tutorials for pond care and maintenance. Learn from our experts with step-by-step guides.,1555,<truncated>,11148,16168926309833677108,0,true
39,https://utahwatergardens.com/plants-fish/floating-plants,Floating Plants - Natural Water Coverage | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,Natural water coverage and filtration for your pond. Beautiful floating plants to enhance water quality and aesthetics in Utah.,744,<truncated>,5086,15872371428547261811,0,true
39,https://utahwatergardens.com/pond-gallery,Pond Gallery - Professional Water Garden Projects & Portfolio | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,"Explore our comprehensive pond gallery showcasing 500+ completed water garden projects across Utah. View residential ponds, commercial water features, koi ponds, and custom designs. Professional pond builders serving Salt Lake County, Davis County, and surrounding areas.",1043,<truncated>,7318,4235525437051118234,0,true
39,https://utahwatergardens.com/pond-services/harvesting,"Pond Services in Harvesting, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,"Professional pond services in Harvesting, Utah. Pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",1584,<truncated>,11442,2682822406441066579,0,true
39,https://utahwatergardens.com/plants-fish/aquatic-plants,,text/html; charset=utf-8,true,200,,607,<truncated>,4136,15926836525609415148,0,true
39,https://utahwatergardens.com/pond-gallery/before-after,Before & After - Pond Transformations & Water Feature Renovations | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,"See dramatic pond transformations and water feature renovations. View our before and after gallery of 100+ pond makeovers, renovations, and restorations across Utah. Professional pond restoration and modernization services.",1164,<truncated>,8578,775708655291856198,0,true
39,https://utahwatergardens.com/pond-services/repair,Pond Equipment Repair Services - Professional Equipment Repair | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,"Professional pond equipment repair services in Utah. Pump repair, filtration repair, aeration repair, lighting repair. 15+ years experience, 500+ repairs completed. Emergency service available.",932,<truncated>,6525,4081005502992993787,0,true
