PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of inlinks dofollow,No. of inlinks nofollow,No. of href inlinks
20,https://utahwatergardens.com/pond-cleaning/farmington,"Pond Services in Farmington, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/south-ogden,"Pond Services in South Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/pleasant-grove,"Pond Services in Pleasant Grove, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-cleaning/holladay,"Pond Services in Holladay, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/orem,"Pond Services in Orem, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/water-treatments/south-ogden,"Pond Services in South Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/provo,"Pond Services in Provo, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-services/north-ogden,"Pond Services in North Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-maintenance/murray,"Pond Services in Murray, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/provo,"Pond Services in Provo, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/water-treatments/west-jordan,"Pond Services in West Jordan, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-services/spanish-fork,"Pond Services in Spanish Fork, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,1,0,1
20,https://utahwatergardens.com/pond-maintenance/south-ogden,"Pond Services in South Ogden, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/alpine,"Pond Services in Alpine, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/west-jordan,"Pond Services in West Jordan, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-cleaning/spanish-fork,"Pond Services in Spanish Fork, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/pleasant-grove,"Pond Services in Pleasant Grove, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/american-fork,"Pond Services in American Fork, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
20,https://utahwatergardens.com/pond-maintenance/orem,"Pond Services in Orem, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,2,1,0,1
