PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
39,https://utahwatergardens.com/resources/video-tutorials,Pond Care Video Tutorials | Educational Videos | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,,1555,<truncated>,11148,16168926309833677108,0,true
39,https://utahwatergardens.com/pond-services/harvesting,"Pond Services in Harvesting, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1584,<truncated>,11442,2682822406441066579,0,true
39,https://utahwatergardens.com/plants-fish/aquatic-plants,,text/html; charset=utf-8,true,200,,607,<truncated>,4136,15926836525609415148,0,true
39,https://utahwatergardens.com/pond-supplies/lighting,Pond Lighting Systems | Underwater & Landscape Lighting | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,,1233,<truncated>,9221,18053137548951259915,0,true
39,https://utahwatergardens.com/pond-services/seasonal,Seasonal Pond Services | Year-Round Pond Maintenance | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,,1039,<truncated>,7263,3733771588689740214,0,true
39,https://utahwatergardens.com/pond-services/lake-dredging,Lake Dredging Services | Professional Lake Maintenance | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,,1215,<truncated>,9583,2709951444803501933,0,true
39,https://utahwatergardens.com/resources/seasonal-care,Seasonal Pond Care | Year-Round Pond Maintenance | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,,1427,<truncated>,9787,15643809733484271682,0,true
39,https://utahwatergardens.com/resources/troubleshooting,Pond Troubleshooting Guide | Common Pond Problems | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,,1830,<truncated>,12788,17849965555222583590,0,true
39,https://utahwatergardens.com/contact,,text/html; charset=utf-8,true,200,,18,<truncated>,113,13969125393900506670,0,true
39,https://utahwatergardens.com/plants-fish/koi-goldfish,,text/html; charset=utf-8,true,200,,763,<truncated>,5102,2036458979599370243,0,true
39,https://utahwatergardens.com/resources/faq,,text/html; charset=utf-8,true,200,,1663,<truncated>,10393,507724748855405717,0,true
38,https://utahwatergardens.com/free-estimate,,text/html; charset=utf-8,true,200,,493,<truncated>,3300,2156577681585741053,0,true
21,https://utahwatergardens.com/plant/equisetum-horsetail,,text/html; charset=utf-8,true,200,,277,<truncated>,1848,2306772265731012791,0,true
20,https://utahwatergardens.com/service-areas/cedar-hills,"Pond Services in Cedar Hills, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1650,<truncated>,11506,16654491792610507046,0,true
20,https://utahwatergardens.com/service-areas/farmington,"Pond Services in Farmington, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1590,<truncated>,11459,3691340710618148902,0,true
20,https://utahwatergardens.com/service-areas/south-jordan,"Pond Services in South Jordan, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1664,<truncated>,11583,2493576463527751169,0,true
20,https://utahwatergardens.com/service-areas/tooele,"Pond Services in Tooele, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1592,<truncated>,11216,17391972187660742289,0,true
20,https://utahwatergardens.com/service-areas/washington,"Pond Services in Washington, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,,1604,<truncated>,11545,17235238175183789998,0,true
