PR,URL,Title,Content type,Is rendered page,HTTP status code,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Meta description,H1,Organic traffic,Is indexable page
39,https://utahwatergardens.com/pond-services/harvesting,"Pond Services in Harvesting, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,1584,<truncated>,11442,2682822406441066579,"Professional pond services in Harvesting, Utah. Pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",Traditional pond-services Craftsmanship in Harvesting,0,true
39,https://utahwatergardens.com/resources/troubleshooting,Pond Troubleshooting Guide | Common Pond Problems | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,1830,<truncated>,12788,17849965555222583590,Comprehensive pond troubleshooting guide. Solutions to common pond problems and maintenance issues.,Pond Troubleshooting,0,true
39,https://utahwatergardens.com/contact,,text/html; charset=utf-8,true,200,18,<truncated>,113,13969125393900506670,,,0,true
20,https://utahwatergardens.com/service-areas/cedar-hills,"Pond Services in Cedar Hills, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,1650,<truncated>,11506,16654491792610507046,"Professional pond services in Cedar Hills, Utah. Pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",Precision service-areas Engineering for Cedar Hills,0,true
20,https://utahwatergardens.com/service-areas/farmington,"Pond Services in Farmington, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,1590,<truncated>,11459,3691340710618148902,"Professional pond services in Farmington, Utah. Pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",Time-Honored service-areas Solutions in Farmington,0,true
20,https://utahwatergardens.com/service-areas/south-jordan,"Pond Services in South Jordan, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,1664,<truncated>,11583,2493576463527751169,"Professional pond services in South Jordan, Utah. Pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",Your Local South Jordan service-areas Specialists,0,true
20,https://utahwatergardens.com/service-areas/tooele,"Pond Services in Tooele, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,1592,<truncated>,11216,17391972187660742289,"Professional pond services in Tooele, Utah. Pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",Precision service-areas Engineering for Tooele,0,true
20,https://utahwatergardens.com/service-areas/washington,"Pond Services in Washington, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,1604,<truncated>,11545,17235238175183789998,"Professional pond services in Washington, Utah. Pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.","Premier service-areas Services in Washington, Utah",0,true
20,https://utahwatergardens.com/service-areas/ivins,"Pond Services in Ivins, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,1592,<truncated>,11158,1237196902104330691,"Professional pond services in Ivins, Utah. Pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",Precision service-areas Engineering for Ivins,0,true
20,https://utahwatergardens.com/service-areas/stansbury-park,"Pond Services in Stansbury Park, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,1642,<truncated>,11674,17206326692187067349,"Professional pond services in Stansbury Park, Utah. Pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",Traditional service-areas Craftsmanship in Stansbury Park,0,true
