PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Linked images without alt attribute,Linked images codes (without alt),No. of linked images without alt attribute
91,https://utahwatergardens.com/,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,60,"https://utahwatergardens.com/images/144b4c20031b8d5bdb573f8c9aea03a3-enhance-4x.jpeg
https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg
https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg
https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg
https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg
https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg","200
200
200
200
200
200",6
0,https://utahwatergardens.com/pond-services/water-quality/farr-west,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,"https://utahwatergardens.com/images/144b4c20031b8d5bdb573f8c9aea03a3-enhance-4x.jpeg
https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg
https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg
https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg
https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg
https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg","200
200
200
200
200
200",6
0,https://utahwatergardens.com/pond-supplies/filtration/kaysville,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,"https://utahwatergardens.com/images/144b4c20031b8d5bdb573f8c9aea03a3-enhance-4x.jpeg
https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg
https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg
https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg
https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg
https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg","200
200
200
200
200
200",6
0,https://utahwatergardens.com/pond-services/repair/salt-lake-city,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,"https://utahwatergardens.com/images/144b4c20031b8d5bdb573f8c9aea03a3-enhance-4x.jpeg
https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg
https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg
https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg
https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg
https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg","200
200
200
200
200
200",6
0,https://utahwatergardens.com/pond-services/water-quality/west-jordan,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,"https://utahwatergardens.com/images/144b4c20031b8d5bdb573f8c9aea03a3-enhance-4x.jpeg
https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg
https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg
https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg
https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg
https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg","200
200
200
200
200
200",6
0,https://utahwatergardens.com/pond-supplies/liners/holladay,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,"https://utahwatergardens.com/images/144b4c20031b8d5bdb573f8c9aea03a3-enhance-4x.jpeg
https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg
https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg
https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg
https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg
https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg","200
200
200
200
200
200",6
0,https://utahwatergardens.com/pond-services/repair/south-ogden,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,"https://utahwatergardens.com/images/144b4c20031b8d5bdb573f8c9aea03a3-enhance-4x.jpeg
https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg
https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg
https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg
https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg
https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg","200
200
200
200
200
200",6
0,https://utahwatergardens.com/pond-services/design-build/farr-west,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,"https://utahwatergardens.com/images/144b4c20031b8d5bdb573f8c9aea03a3-enhance-4x.jpeg
https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg
https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg
https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg
https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg
https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg","200
200
200
200
200
200",6
0,https://utahwatergardens.com/pond-supplies/filtration/syracuse,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,"https://utahwatergardens.com/images/144b4c20031b8d5bdb573f8c9aea03a3-enhance-4x.jpeg
https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg
https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg
https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg
https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg
https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg","200
200
200
200
200
200",6
0,https://utahwatergardens.com/pond-services/repair/washington-terrace,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,"https://utahwatergardens.com/images/144b4c20031b8d5bdb573f8c9aea03a3-enhance-4x.jpeg
https://utahwatergardens.com/images/19765b123d1521ca46ded746c375eeef-enhance-4x.jpeg
https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg
https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg
https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg
https://utahwatergardens.com/images/1df1ecf8852a8a526517efdf414917a7-denoise-enhance-4x.jpeg","200
200
200
200
200
200",6
