PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description length,No. of meta descriptions,Is indexable page
91,https://utahwatergardens.com/,"Pond Services Near Salt Lake City, UT | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,60,0,"Utah's premier pond services near Salt Lake City, UT. Expert pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",172,1,true
39,https://utahwatergardens.com/pond-gallery/residential,Residential Ponds - Custom Home Water Gardens & Koi Ponds | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Transform your backyard with a custom residential pond. View our gallery of 200+ beautiful home water gardens, koi ponds, and water features across Utah. Professional pond design and installation serving Salt Lake County, Davis County, and surrounding areas.",258,1,true
39,https://utahwatergardens.com/pond-gallery,Pond Gallery - Professional Water Garden Projects & Portfolio | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,0,"Explore our comprehensive pond gallery showcasing 500+ completed water garden projects across Utah. View residential ponds, commercial water features, koi ponds, and custom designs. Professional pond builders serving Salt Lake County, Davis County, and surrounding areas.",271,1,true
39,https://utahwatergardens.com/pond-gallery/before-after,Before & After - Pond Transformations & Water Feature Renovations | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"See dramatic pond transformations and water feature renovations. View our before and after gallery of 100+ pond makeovers, renovations, and restorations across Utah. Professional pond restoration and modernization services.",223,1,true
39,https://utahwatergardens.com/pond-services/repair,Pond Equipment Repair Services - Professional Equipment Repair | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional pond equipment repair services in Utah. Pump repair, filtration repair, aeration repair, lighting repair. 15+ years experience, 500+ repairs completed. Emergency service available.",193,1,true
39,https://utahwatergardens.com/resources/care-guides,Pond Care Guides | Expert Advice | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,0,"Comprehensive guides to help you create and maintain a beautiful, healthy pond. From beginner basics to advanced techniques, we have everything you need to succeed.",164,1,true
39,https://utahwatergardens.com/pond-services/maintenance,Pond Maintenance Services - Professional Pond Care | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional pond maintenance services in Utah. Water testing, plant care, fish health monitoring, equipment maintenance. 15+ years experience, 500+ ponds maintained. Serving Salt Lake County, Davis County, and surrounding areas.",229,1,true
39,https://utahwatergardens.com/pond-supplies/pumps-aeration,Pond Pumps & Aeration Systems - Professional Equipment | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional-grade pond pumps and aeration systems to keep your pond healthy and thriving. Submersible pumps, external pumps, solar pumps, and aeration systems for all pond sizes.",179,1,true
39,https://utahwatergardens.com/pond-gallery/water-features,Water Features - Creative Water Gardens & Decorative Features | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional water feature design and installation. View our gallery of 250+ creative water features, waterfalls, fountains, and decorative water elements across Utah. Custom water feature design for residential and commercial properties.",238,1,true
39,https://utahwatergardens.com/blog,Blog | Utah Water Gardens - Pond & Water Feature Insights | Utah Water Gardens,text/html; charset=utf-8,true,200,0,0,"Utah Water Gardens Blog - Expert insights on pond design, water features, aquatic plants, fish care, and creating beautiful water gardens in Utah's unique climate.",163,1,true
39,https://utahwatergardens.com/pond-services/pond-dredging,Pond Dredging Service in Utah | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional pond dredging services in Utah, Utah. Expert sediment removal, pond restoration, and water quality improvement. Licensed & insured. Call (801) 590-8516.",165,1,true
39,https://utahwatergardens.com/pond-services/design-build,Pond Design & Build Services - Custom Water Gardens | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional pond design and construction services in Utah. Custom koi ponds, water gardens, and swimming ponds. 25+ years experience, 500+ projects completed. Free consultation and comprehensive warranties.",207,1,true
39,https://utahwatergardens.com/pond-gallery/commercial,Commercial Water Features - Large-Scale Business Water Gardens | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional commercial water feature design and installation. View our gallery of 150+ large-scale business water gardens, corporate fountains, and commercial installations across Utah. Serving hotels, offices, retail centers, and healthcare facilities.",254,1,true
39,https://utahwatergardens.com/pond-gallery/customer-projects,Customer Projects - Real Water Garden Success Stories | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"See real customer success stories and water garden projects. View our gallery of 500+ completed customer projects with testimonials, case studies, and success stories from satisfied clients across Utah.",202,1,true
39,https://utahwatergardens.com/pondsupplies,"Pond Services in Pondsupplies, Utah | Utah Water Gardens | Utah Water Gardens",text/html; charset=utf-8,true,200,0,1,"Professional pond services in Pondsupplies, Utah. Pond design, construction, maintenance, and cleaning. Licensed & insured. Call (801) 590-8516 for consultation.",161,1,true
39,https://utahwatergardens.com/pond-supplies,Pond Supplies - Premium Water Garden Equipment & Products | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,0,"Shop our comprehensive selection of 500+ pond supplies including filtration systems, pumps, liners, water treatments, lighting, and tools. Professional-grade equipment from 50+ top brands. Serving Salt Lake County, Davis County, and surrounding areas with expert advice and quality guaranteed.",293,1,true
39,https://utahwatergardens.com/pond-supplies/water-treatments,Water Treatments & Chemicals - Professional Pond Water Care | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional-grade water treatments and chemicals in Utah. Algae control, beneficial bacteria, pH balancers, water clarifiers. 100+ products, 15+ years experience. Serving Salt Lake County, Davis County, and surrounding areas.",226,1,true
39,https://utahwatergardens.com/pond-services/cleaning,Pond Cleaning Services - Professional Pond Cleaning | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional pond cleaning services in Utah. Debris removal, algae control, sediment removal, filter cleaning. 15+ years experience, 500+ ponds cleaned. Serving Salt Lake County, Davis County, and surrounding areas.",215,1,true
39,https://utahwatergardens.com/plants-fish,Plants & Fish - Aquatic Plants and Pond Fish | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,0,"Discover Utah's largest selection of aquatic plants and pond fish. Water lilies, marginal plants, floating plants, koi, and goldfish. Expert advice and healthy stock guaranteed.",177,1,true
39,https://utahwatergardens.com/out-of-area-service,Extended Service Area - Out of Area Pond Services | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,Request pond and water feature services for locations 50+ miles from Salt Lake City. Special extended service area form for customers outside our primary coverage zone. Custom quotes available.,193,1,true
39,https://utahwatergardens.com/pond-gallery/koi-ponds,Koi Ponds - Premium Koi Fish Ponds & Water Gardens | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional koi pond design and installation. View our gallery of 300+ beautiful koi ponds, Japanese-style water gardens, and premium koi fish habitats across Utah. Expert koi care and maintenance services.",207,1,true
39,https://utahwatergardens.com/pond-supplies/liners,Pond Liners & Underlayment - Premium Waterproof Liners | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Professional-grade pond liners and underlayment materials in Utah. EPDM, PVC, HDPE liners with 25+ year warranties. 50+ liner types, 15+ years experience. Serving Salt Lake County, Davis County, and surrounding areas.",217,1,true
39,https://utahwatergardens.com/pond-supplies/filtration,Pond Filtration Systems - Premium Water Filtration | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Premium pond filtration systems in Utah. Mechanical, biological, and UV filtration. 50+ systems available, 15+ years experience. Serving Salt Lake County, Davis County, and surrounding areas.",191,1,true
39,https://utahwatergardens.com/about,About Utah Water Gardens - Utah's Premier Pond & Water Feature Company | Utah Water Gardens,text/html; charset=utf-8,true,200,0,0,"Learn about Utah Water Gardens, Utah's premier pond and water feature company. 15+ years of experience, 500+ projects completed, and Utah's largest selection of aquatic plants.",176,1,true
39,https://utahwatergardens.com/pond-services,Pond Services - Professional Pond Care & Maintenance | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,0,"Professional pond services including cleaning, maintenance, repair, and dredging. Serving Salt Lake County, Davis County, and surrounding areas with 15+ years of experience.",173,1,true
21,https://utahwatergardens.com/pond-harvesting-ogden,Lake Harvesting Service in Ogden | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,0,"Professional lake harvesting services in Ogden, Utah. Expert lake vegetation management, water quality improvement, and ecosystem maintenance. Licensed & insured. Call (801) 590-8516.",183,1,true
