priority_level,lead_score,company_name,contact_name,phone,email,address,city,state,zip_code,services,lead_status,lead_source,created_date,notes
High Priority,100,Instagram User,Instagram User,,,,Salt Lake City,UT,,Instagram - koi pond utah,new,social_media,2025-07-31 15:43:08.886145,Instagram post: Looking for koi pond utah services in Utah! Need help with my water feature.
High Priority,80,Social Media User,Social Media User,,,,Salt Lake City,UT,,Social Media - Looking for koi pond maintenance in Salt Lake City area,new,social_media,2025-07-31 19:53:46.977831,Social media post: Looking for koi pond maintenance in Salt Lake City area
Low Priority,50,Pond Maintenance Salt Lake City,Pond Owner,801-218-4175,contact@pondmaintenancesaltlakecity.com,"8521 Salt Lake City St, Salt Lake City, UT",Salt Lake City,UT,84455,Local Business - pond maintenance,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Pond Maintenance Salt Lake City - pond maintenance
Low Priority,50,Pond Maintenance West Jordan,Pond Owner,801-314-8041,contact@pondmaintenancewestjordan.com,"384 West Jordan St, West Jordan, UT",West Jordan,UT,84170,Local Business - pond maintenance,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Pond Maintenance West Jordan - pond maintenance
Low Priority,50,Pond Maintenance Sandy,Pond Owner,801-120-4256,contact@pondmaintenancesandy.com,"8635 Sandy St, Sandy, UT",Sandy,UT,84576,Local Business - pond maintenance,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Pond Maintenance Sandy - pond maintenance
Low Priority,50,Pond Maintenance Ogden,Pond Owner,801-683-5028,contact@pondmaintenanceogden.com,"6767 Ogden St, Ogden, UT",Ogden,UT,84827,Local Business - pond maintenance,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Pond Maintenance Ogden - pond maintenance
Low Priority,50,Pond Maintenance Provo,Pond Owner,801-240-5880,contact@pondmaintenanceprovo.com,"503 Provo St, Provo, UT",Provo,UT,84111,Local Business - pond maintenance,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Pond Maintenance Provo - pond maintenance
Low Priority,50,Water Feature Installation Salt Lake City,Water Owner,801-301-4976,contact@waterfeatureinstallationsaltlakecity.com,"1209 Salt Lake City St, Salt Lake City, UT",Salt Lake City,UT,84016,Local Business - water feature installation,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Water Feature Installation Salt Lake City - water feature installation
Low Priority,50,Water Feature Installation West Jordan,Water Owner,801-163-9610,contact@waterfeatureinstallationwestjordan.com,"6820 West Jordan St, West Jordan, UT",West Jordan,UT,84710,Local Business - water feature installation,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Water Feature Installation West Jordan - water feature installation
Low Priority,50,Water Feature Installation Sandy,Water Owner,801-274-8232,contact@waterfeatureinstallationsandy.com,"447 Sandy St, Sandy, UT",Sandy,UT,84047,Local Business - water feature installation,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Water Feature Installation Sandy - water feature installation
